núm.,local ,p.a.p,instr.,tam.,renda
61,Pq. Da Figueira,não usa,segundo grau,1,"2,3"
62,Pq. Da Figueira,usa,nenhum,7,"6,1"
63,Pq. Da Figueira,usa,nenhum,3,"5,5"
64,Pq. Da Figueira,usa,nenhum,7,"3,5"
65,Pq. Da Figueira,usa,segundo grau,3,9
66,Pq. Da Figueira,usa,segundo grau,6,"5,8"
67,Pq. Da Figueira,não usa,nenhum,6,"4,2"
68,Pq. Da Figueira,usa,segundo grau,3,"6,8"
69,Pq. Da Figueira,usa,primeiro grau,5,"4,8"
70,Pq. Da Figueira,usa,segundo grau,5,6
71,Pq. Da Figueira,usa,primeiro grau,7,9
72,Pq. Da Figueira,usa,nenhum,4,"5,3"
73,Pq. Da Figueira,usa,segundo grau,4,"3,1"
74,Pq. Da Figueira,não usa,segundo grau,1,"6,4"
75,Pq. Da Figueira,usa,nenhum,3,"3,9"
76,Pq. Da Figueira,usa,primeiro grau,3,"6,4"
77,Pq. Da Figueira,usa,segundo grau,4,"2,7"
78,Pq. Da Figueira,não usa,primeiro grau,4,"2,4"
79,Pq. Da Figueira,não usa,primeiro grau,4,"3,6"
80,Pq. Da Figueira,não usa,segundo grau,5,"6,4"
81,Pq. Da Figueira,não usa,segundo grau,2,"11,3"
82,Pq. Da Figueira,usa,nenhum,5,"3,8"
83,Pq. Da Figueira,usa,primeiro grau,3,"4,1"
84,Encosta do Morro,usa,nenhum,5,"1,8"
85,Encosta do Morro,usa,segundo grau,5,"7,1"
86,Encosta do Morro,não usa,nenhum,3,"13,9"
87,Encosta do Morro,usa,primeiro grau,6,4
88,Encosta do Morro,usa,nenhum,6,"2,9"
89,Encosta do Morro,usa,primeiro grau,9,"3,9"
90,Encosta do Morro,usa,nenhum,4,"2,2"
91,Encosta do Morro,não usa,primeiro grau,3,"5,8"
92,Encosta do Morro,não usa,primeiro grau,5,"2,8"
93,Encosta do Morro,usa,primeiro grau,5,"4,5"
94,Encosta do Morro,não usa,primeiro grau,4,"5,8"
95,Encosta do Morro,não usa,segundo grau,8,"3,9"
96,Encosta do Morro,não usa,primeiro grau,7,"2,8"
97,Encosta do Morro,usa,nenhum,3,"1,3"
98,Encosta do Morro,usa,segundo grau,5,"3,9"
99,Encosta do Morro,usa,segundo grau,5,5
100,Encosta do Morro,usa,nenhum,5,"0,1"
101,Encosta do Morro,não usa,primeiro grau,3,"4,6"
102,Encosta do Morro,usa,primeiro grau,4,"2,6"
103,Encosta do Morro,não usa,nenhum,6,"2,3"
104,Encosta do Morro,usa,primeiro grau,5,"4,9"
105,Encosta do Morro,usa,nenhum,5,"2,3"
106,Encosta do Morro,usa,nenhum,3,"3,9"
107,Encosta do Morro,usa,nenhum,4,"2,1"
108,Encosta do Morro,usa,nenhum,4,"2,7"
109,Encosta do Morro,usa,primeiro grau,5,"11,1"
110,Encosta do Morro,usa,nenhum,6,"6,4"
111,Encosta do Morro,não usa,segundo grau,7,"25,7"
112,Encosta do Morro,usa,nenhum,4,"0,9"
113,Encosta do Morro,usa,segundo grau,5,"3,9"
114,Encosta do Morro,usa,nenhum,5,"5,1"
115,Encosta do Morro,usa,primeiro grau,6,"4,2"
116,Encosta do Morro,usa,nenhum,6,"4,4"
117,Encosta do Morro,usa,nenhum,7,"7,9"
118,Encosta do Morro,não usa,nenhum,4,"4,2"
119,Encosta do Morro,não usa,nenhum,4,"3,5"
120,Encosta do Morro,não usa,primeiro grau,6,"11,4"
